Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	negative regulation of receptor signaling pathway via STAT (GO:1904893)	1/11	5.365826e-02	2.374532e-01	0	0	2.009091e+01	5.876832e+01	PTPRT
GO_Biological_Process_2021	regulation of mesenchymal cell proliferation (GO:0010464)	1/11	5.365826e-02	2.374532e-01	0	0	2.009091e+01	5.876832e+01	WNT5A
GO_Biological_Process_2021	regulation of monocyte chemotactic protein-1 production (GO:0071637)	1/11	5.365826e-02	2.374532e-01	0	0	2.009091e+01	5.876832e+01	C1QTNF3
GO_Biological_Process_2021	detection of light stimulus involved in sensory perception (GO:0050962)	1/11	5.365826e-02	2.374532e-01	0	0	2.009091e+01	5.876832e+01	REEP6
GO_Biological_Process_2021	detection of light stimulus involved in visual perception (GO:0050908)	1/11	5.365826e-02	2.374532e-01	0	0	2.009091e+01	5.876832e+01	REEP6
GO_Biological_Process_2021	formation of extrachromosomal circular DNA (GO:0001325)	1/11	5.365826e-02	2.374532e-01	0	0	2.009091e+01	5.876832e+01	BLM
GO_Biological_Process_2021	positive regulation of dendrite development (GO:1900006)	1/11	5.365826e-02	2.374532e-01	0	0	2.009091e+01	5.876832e+01	LRP8
GO_Biological_Process_2021	glucocorticoid biosynthetic process (GO:0006704)	1/11	5.365826e-02	2.374532e-01	0	0	2.009091e+01	5.876832e+01	CYP21A2
GO_Biological_Process_2021	glucocorticoid metabolic process (GO:0008211)	1/11	5.365826e-02	2.374532e-01	0	0	2.009091e+01	5.876832e+01	CYP21A2
GO_Biological_Process_2021	hematopoietic stem cell proliferation (GO:0071425)	1/11	5.365826e-02	2.374532e-01	0	0	2.009091e+01	5.876832e+01	WNT5A
GO_Biological_Process_2021	response to hydroxyurea (GO:0072710)	1/11	5.365826e-02	2.374532e-01	0	0	2.009091e+01	5.876832e+01	BLM
GO_Biological_Process_2021	inhibitory synapse assembly (GO:1904862)	1/11	5.365826e-02	2.374532e-01	0	0	2.009091e+01	5.876832e+01	WNT5A
GO_Biological_Process_2021	t-circle formation (GO:0090656)	1/11	5.365826e-02	2.374532e-01	0	0	2.009091e+01	5.876832e+01	BLM
GO_Biological_Process_2021	telomere maintenance via telomere trimming (GO:0090737)	1/11	5.365826e-02	2.374532e-01	0	0	2.009091e+01	5.876832e+01	BLM
GO_Biological_Process_2021	midbrain dopaminergic neuron differentiation (GO:1904948)	1/11	5.365826e-02	2.374532e-01	0	0	2.009091e+01	5.876832e+01	WNT5A
GO_Biological_Process_2021	postsynapse assembly (GO:0099068)	1/11	5.365826e-02	2.374532e-01	0	0	2.009091e+01	5.876832e+01	WNT5A
GO_Biological_Process_2021	positive regulation of programmed cell death (GO:0043068)	4/286	5.538773e-02	2.391610e-01	0	0	2.898641e+00	8.386919e+00	FGD3;FANK1;BNIP3L;PSEN1
GO_Biological_Process_2021	regulation of cell division (GO:0051302)	2/76	5.555659e-02	2.391610e-01	0	0	5.467733e+00	1.580368e+01	BLM;KIF18B
GO_Biological_Process_2021	positive regulation of tumor necrosis factor production (GO:0032760)	2/77	5.685706e-02	2.391610e-01	0	0	5.394558e+00	1.546736e+01	WNT5A;PSEN1
GO_Biological_Process_2021	adipose tissue development (GO:0060612)	1/12	5.839256e-02	2.391610e-01	0	0	1.826354e+01	5.187882e+01	SPTLC2
GO_Biological_Process_2021	negative regulation of cell division (GO:0051782)	1/12	5.839256e-02	2.391610e-01	0	0	1.826354e+01	5.187882e+01	BLM
GO_Biological_Process_2021	regulation of DNA-dependent DNA replication (GO:0090329)	1/12	5.839256e-02	2.391610e-01	0	0	1.826354e+01	5.187882e+01	BLM
GO_Biological_Process_2021	depurination (GO:0045007)	1/12	5.839256e-02	2.391610e-01	0	0	1.826354e+01	5.187882e+01	NEIL3
GO_Biological_Process_2021	double-strand break repair via break-induced replication (GO:0000727)	1/12	5.839256e-02	2.391610e-01	0	0	1.826354e+01	5.187882e+01	CDC45
GO_Biological_Process_2021	exit from mitosis (GO:0010458)	1/12	5.839256e-02	2.391610e-01	0	0	1.826354e+01	5.187882e+01	UBE2S
GO_Biological_Process_2021	keratan sulfate catabolic process (GO:0042340)	1/12	5.839256e-02	2.391610e-01	0	0	1.826354e+01	5.187882e+01	OMD
GO_Biological_Process_2021	sphingoid metabolic process (GO:0046519)	1/12	5.839256e-02	2.391610e-01	0	0	1.826354e+01	5.187882e+01	DEGS2
GO_Biological_Process_2021	positive regulation of ubiquitin protein ligase activity (GO:1904668)	1/12	5.839256e-02	2.391610e-01	0	0	1.826354e+01	5.187882e+01	UBE2S
GO_Biological_Process_2021	mitotic nuclear membrane disassembly (GO:0007077)	1/12	5.839256e-02	2.391610e-01	0	0	1.826354e+01	5.187882e+01	LPIN1
GO_Biological_Process_2021	presynapse organization (GO:0099172)	1/12	5.839256e-02	2.391610e-01	0	0	1.826354e+01	5.187882e+01	WNT5A
GO_Biological_Process_2021	positive regulation of developmental process (GO:0051094)	3/177	5.915344e-02	2.405427e-01	0	0	3.506221e+00	9.914263e+00	WNT5A;PSEN1;LRP8
GO_Biological_Process_2021	organelle assembly (GO:0070925)	5/425	6.211379e-02	2.405427e-01	0	0	2.441103e+00	6.783305e+00	ANLN;CENPE;EXOC6;IFT46;CENPA
GO_Biological_Process_2021	positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557)	2/81	6.216388e-02	2.405427e-01	0	0	5.120382e+00	1.422433e+01	WNT5A;PSEN1
GO_Biological_Process_2021	DNA repair (GO:0006281)	4/298	6.251169e-02	2.405427e-01	0	0	2.778628e+00	7.703473e+00	NEIL3;BLM;FANCA;KPNA2
GO_Biological_Process_2021	negative regulation of DNA-dependent DNA replication (GO:2000104)	1/13	6.310341e-02	2.405427e-01	0	0	1.674074e+01	4.625434e+01	BLM
GO_Biological_Process_2021	negative regulation of gluconeogenesis (GO:0045721)	1/13	6.310341e-02	2.405427e-01	0	0	1.674074e+01	4.625434e+01	C1QTNF3
GO_Biological_Process_2021	negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:1902166)	1/13	6.310341e-02	2.405427e-01	0	0	1.674074e+01	4.625434e+01	MUC1
GO_Biological_Process_2021	regulation of cell aging (GO:0090342)	1/13	6.310341e-02	2.405427e-01	0	0	1.674074e+01	4.625434e+01	FOXM1
GO_Biological_Process_2021	DNA replication-independent nucleosome organization (GO:0034724)	1/13	6.310341e-02	2.405427e-01	0	0	1.674074e+01	4.625434e+01	NASP
GO_Biological_Process_2021	regulation of receptor signaling pathway via STAT (GO:1904892)	1/13	6.310341e-02	2.405427e-01	0	0	1.674074e+01	4.625434e+01	PTPRT
GO_Biological_Process_2021	response to interleukin-6 (GO:0070741)	1/13	6.310341e-02	2.405427e-01	0	0	1.674074e+01	4.625434e+01	PTPRT
GO_Biological_Process_2021	sphingoid biosynthetic process (GO:0046520)	1/13	6.310341e-02	2.405427e-01	0	0	1.674074e+01	4.625434e+01	SPTLC2
GO_Biological_Process_2021	sphingosine biosynthetic process (GO:0046512)	1/13	6.310341e-02	2.405427e-01	0	0	1.674074e+01	4.625434e+01	SPTLC2
GO_Biological_Process_2021	mitochondrial outer membrane permeabilization (GO:0097345)	1/13	6.310341e-02	2.405427e-01	0	0	1.674074e+01	4.625434e+01	BNIP3L
GO_Biological_Process_2021	regulation of defense response (GO:0031347)	2/83	6.487838e-02	2.416621e-01	0	0	4.993449e+00	1.365829e+01	WNT5A;LRP8
GO_Biological_Process_2021	anaphase-promoting complex-dependent catabolic process (GO:0031145)	2/84	6.625044e-02	2.416621e-01	0	0	4.932305e+00	1.338782e+01	UBE2S;MAD2L1
GO_Biological_Process_2021	amyloid precursor protein catabolic process (GO:0042987)	1/14	6.779093e-02	2.416621e-01	0	0	1.545221e+01	4.158696e+01	PSEN1
GO_Biological_Process_2021	C4-dicarboxylate transport (GO:0015740)	1/14	6.779093e-02	2.416621e-01	0	0	1.545221e+01	4.158696e+01	SLC25A13
GO_Biological_Process_2021	regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:1902165)	1/14	6.779093e-02	2.416621e-01	0	0	1.545221e+01	4.158696e+01	MUC1
GO_Biological_Process_2021	coenzyme A metabolic process (GO:0015936)	1/14	6.779093e-02	2.416621e-01	0	0	1.545221e+01	4.158696e+01	CROT
GO_Biological_Process_2021	nuclear membrane disassembly (GO:0051081)	1/14	6.779093e-02	2.416621e-01	0	0	1.545221e+01	4.158696e+01	LPIN1
GO_Biological_Process_2021	regulation of macrophage cytokine production (GO:0010935)	1/14	6.779093e-02	2.416621e-01	0	0	1.545221e+01	4.158696e+01	WNT5A
GO_Biological_Process_2021	regulation of protein kinase C signaling (GO:0090036)	1/14	6.779093e-02	2.416621e-01	0	0	1.545221e+01	4.158696e+01	WNT5A
GO_Biological_Process_2021	genitalia development (GO:0048806)	1/14	6.779093e-02	2.416621e-01	0	0	1.545221e+01	4.158696e+01	WNT5A
GO_Biological_Process_2021	respiratory electron transport chain (GO:0022904)	1/14	6.779093e-02	2.416621e-01	0	0	1.545221e+01	4.158696e+01	SLC25A13
GO_Biological_Process_2021	response to X-ray (GO:0010165)	1/14	6.779093e-02	2.416621e-01	0	0	1.545221e+01	4.158696e+01	BLM
GO_Biological_Process_2021	secondary palate development (GO:0062009)	1/14	6.779093e-02	2.416621e-01	0	0	1.545221e+01	4.158696e+01	WNT5A
GO_Biological_Process_2021	positive regulation of T cell chemotaxis (GO:0010820)	1/14	6.779093e-02	2.416621e-01	0	0	1.545221e+01	4.158696e+01	WNT5A
GO_Biological_Process_2021	positive regulation of apoptotic process (GO:0043065)	4/310	7.009746e-02	2.446953e-01	0	0	2.668028e+00	7.091269e+00	FGD3;FANK1;BNIP3L;PSEN1
GO_Biological_Process_2021	cellular protein modification process (GO:0006464)	9/1025	7.076073e-02	2.446953e-01	0	0	1.838237e+00	4.868480e+00	PTPRT;C4A;GOLM1;UBE2S;CCNE1;BIRC5;DCAF5;LOXL1;NEK11
GO_Biological_Process_2021	positive regulation of neuron projection development (GO:0010976)	2/88	7.183435e-02	2.446953e-01	0	0	4.701946e+00	1.238207e+01	WNT5A;LRP8
GO_Biological_Process_2021	regulation of amyloid fibril formation (GO:1905906)	1/15	7.245523e-02	2.446953e-01	0	0	1.434776e+01	3.765981e+01	PSEN1
GO_Biological_Process_2021	negative regulation of ubiquitin-protein transferase activity (GO:0051444)	1/15	7.245523e-02	2.446953e-01	0	0	1.434776e+01	3.765981e+01	MAD2L1
GO_Biological_Process_2021	regulation of neuron projection arborization (GO:0150011)	1/15	7.245523e-02	2.446953e-01	0	0	1.434776e+01	3.765981e+01	WNT5A
GO_Biological_Process_2021	phosphatidylethanolamine biosynthetic process (GO:0006646)	1/15	7.245523e-02	2.446953e-01	0	0	1.434776e+01	3.765981e+01	LPIN1
GO_Biological_Process_2021	positive regulation of cell killing (GO:0031343)	1/15	7.245523e-02	2.446953e-01	0	0	1.434776e+01	3.765981e+01	WNT5A
GO_Biological_Process_2021	regulation of T cell chemotaxis (GO:0010819)	1/15	7.245523e-02	2.446953e-01	0	0	1.434776e+01	3.765981e+01	WNT5A
GO_Biological_Process_2021	positive regulation of protein export from nucleus (GO:0046827)	1/15	7.245523e-02	2.446953e-01	0	0	1.434776e+01	3.765981e+01	GTSE1
GO_Biological_Process_2021	positive regulation of response to cytokine stimulus (GO:0060760)	1/15	7.245523e-02	2.446953e-01	0	0	1.434776e+01	3.765981e+01	WNT5A
GO_Biological_Process_2021	mitotic intra-S DNA damage checkpoint signaling (GO:0031573)	1/15	7.245523e-02	2.446953e-01	0	0	1.434776e+01	3.765981e+01	NEK11
GO_Biological_Process_2021	positive regulation of supramolecular fiber organization (GO:1902905)	2/91	7.611922e-02	2.483860e-01	0	0	4.542765e+00	1.169969e+01	EVL;PSEN1
GO_Biological_Process_2021	basement membrane organization (GO:0071711)	1/16	7.709643e-02	2.483860e-01	0	0	1.339057e+01	3.431600e+01	NTN4
GO_Biological_Process_2021	regulation of chromatin silencing (GO:0031935)	1/16	7.709643e-02	2.483860e-01	0	0	1.339057e+01	3.431600e+01	CDC45
GO_Biological_Process_2021	regulation of ERBB signaling pathway (GO:1901184)	1/16	7.709643e-02	2.483860e-01	0	0	1.339057e+01	3.431600e+01	RHBDF2
GO_Biological_Process_2021	negative regulation of transcription regulatory region DNA binding (GO:2000678)	1/16	7.709643e-02	2.483860e-01	0	0	1.339057e+01	3.431600e+01	PSEN1
GO_Biological_Process_2021	neuron projection organization (GO:0106027)	1/16	7.709643e-02	2.483860e-01	0	0	1.339057e+01	3.431600e+01	PSEN1
GO_Biological_Process_2021	regulation of mitotic sister chromatid separation (GO:0010965)	1/16	7.709643e-02	2.483860e-01	0	0	1.339057e+01	3.431600e+01	CENPE
GO_Biological_Process_2021	DNA unwinding involved in DNA replication (GO:0006268)	1/16	7.709643e-02	2.483860e-01	0	0	1.339057e+01	3.431600e+01	BLM
GO_Biological_Process_2021	regulation of phosphate metabolic process (GO:0019220)	1/16	7.709643e-02	2.483860e-01	0	0	1.339057e+01	3.431600e+01	PSEN1
GO_Biological_Process_2021	filopodium assembly (GO:0046847)	1/16	7.709643e-02	2.483860e-01	0	0	1.339057e+01	3.431600e+01	FGD3
GO_Biological_Process_2021	positive regulation of myeloid leukocyte cytokine production involved in immune response (GO:0061081)	1/16	7.709643e-02	2.483860e-01	0	0	1.339057e+01	3.431600e+01	WNT5A
GO_Biological_Process_2021	axon guidance (GO:0007411)	3/203	8.167436e-02	2.506784e-01	0	0	3.046392e+00	7.631258e+00	WNT5A;NTN4;EVL
GO_Biological_Process_2021	negative regulation of cell aging (GO:0090344)	1/17	8.171463e-02	2.506784e-01	0	0	1.255303e+01	3.143934e+01	FOXM1
GO_Biological_Process_2021	negative regulation of chemokine production (GO:0032682)	1/17	8.171463e-02	2.506784e-01	0	0	1.255303e+01	3.143934e+01	C1QTNF3
GO_Biological_Process_2021	amyloid-beta metabolic process (GO:0050435)	1/17	8.171463e-02	2.506784e-01	0	0	1.255303e+01	3.143934e+01	PSEN1
GO_Biological_Process_2021	negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902254)	1/17	8.171463e-02	2.506784e-01	0	0	1.255303e+01	3.143934e+01	MUC1
GO_Biological_Process_2021	regulation of cell killing (GO:0031341)	1/17	8.171463e-02	2.506784e-01	0	0	1.255303e+01	3.143934e+01	WNT5A
GO_Biological_Process_2021	detection of visible light (GO:0009584)	1/17	8.171463e-02	2.506784e-01	0	0	1.255303e+01	3.143934e+01	REEP6
GO_Biological_Process_2021	diol biosynthetic process (GO:0034312)	1/17	8.171463e-02	2.506784e-01	0	0	1.255303e+01	3.143934e+01	SPTLC2
GO_Biological_Process_2021	DNA replication checkpoint signaling (GO:0000076)	1/17	8.171463e-02	2.506784e-01	0	0	1.255303e+01	3.143934e+01	CDC45
GO_Biological_Process_2021	positive regulation of macrophage activation (GO:0043032)	1/17	8.171463e-02	2.506784e-01	0	0	1.255303e+01	3.143934e+01	WNT5A
GO_Biological_Process_2021	positive regulation of stem cell proliferation (GO:2000648)	1/17	8.171463e-02	2.506784e-01	0	0	1.255303e+01	3.143934e+01	CCNE1
GO_Biological_Process_2021	protein localization to chromosome, centromeric region (GO:0071459)	1/17	8.171463e-02	2.506784e-01	0	0	1.255303e+01	3.143934e+01	CENPA
GO_Biological_Process_2021	cellular transition metal ion homeostasis (GO:0046916)	2/96	8.343538e-02	2.536590e-01	0	0	4.300043e+00	1.067994e+01	SLC40A1;CYBRD1
GO_Biological_Process_2021	protein maturation (GO:0051604)	2/97	8.492374e-02	2.536590e-01	0	0	4.254565e+00	1.049176e+01	TSPAN15;PSEN1
GO_Biological_Process_2021	double-strand break repair via homologous recombination (GO:0000724)	2/97	8.492374e-02	2.536590e-01	0	0	4.254565e+00	1.049176e+01	BLM;CDC45
GO_Biological_Process_2021	acidic amino acid transport (GO:0015800)	1/18	8.630996e-02	2.536590e-01	0	0	1.181402e+01	2.894211e+01	SLC25A13
GO_Biological_Process_2021	amyloid precursor protein metabolic process (GO:0042982)	1/18	8.630996e-02	2.536590e-01	0	0	1.181402e+01	2.894211e+01	PSEN1
GO_Biological_Process_2021	cellular response to alkaloid (GO:0071312)	1/18	8.630996e-02	2.536590e-01	0	0	1.181402e+01	2.894211e+01	BLM
GO_Biological_Process_2021	positive regulation of CREB transcription factor activity (GO:0032793)	1/18	8.630996e-02	2.536590e-01	0	0	1.181402e+01	2.894211e+01	LRP8
GO_Biological_Process_2021	positive regulation of lymphocyte chemotaxis (GO:0140131)	1/18	8.630996e-02	2.536590e-01	0	0	1.181402e+01	2.894211e+01	WNT5A
GO_Biological_Process_2021	triglyceride biosynthetic process (GO:0019432)	1/18	8.630996e-02	2.536590e-01	0	0	1.181402e+01	2.894211e+01	LPIN1
GO_Biological_Process_2021	microtubule depolymerization (GO:0007019)	1/18	8.630996e-02	2.536590e-01	0	0	1.181402e+01	2.894211e+01	KIF18B
GO_Biological_Process_2021	presynapse assembly (GO:0099054)	1/18	8.630996e-02	2.536590e-01	0	0	1.181402e+01	2.894211e+01	WNT5A
GO_Biological_Process_2021	NLS-bearing protein import into nucleus (GO:0006607)	1/19	9.088251e-02	2.603602e-01	0	0	1.115713e+01	2.675688e+01	KPNA2
GO_Biological_Process_2021	diol metabolic process (GO:0034311)	1/19	9.088251e-02	2.603602e-01	0	0	1.115713e+01	2.675688e+01	DEGS2
GO_Biological_Process_2021	DNA double-strand break processing (GO:0000729)	1/19	9.088251e-02	2.603602e-01	0	0	1.115713e+01	2.675688e+01	BLM
GO_Biological_Process_2021	positive regulation of leukocyte activation (GO:0002696)	1/19	9.088251e-02	2.603602e-01	0	0	1.115713e+01	2.675688e+01	WNT5A
GO_Biological_Process_2021	sphingosine metabolic process (GO:0006670)	1/19	9.088251e-02	2.603602e-01	0	0	1.115713e+01	2.675688e+01	SPTLC2
GO_Biological_Process_2021	synaptic transmission, cholinergic (GO:0007271)	1/19	9.088251e-02	2.603602e-01	0	0	1.115713e+01	2.675688e+01	CHRNA5
GO_Biological_Process_2021	positive regulation of cell cycle process (GO:0090068)	2/101	9.095699e-02	2.603602e-01	0	0	4.081839e+00	9.785672e+00	NDC80;MAD2L1
GO_Biological_Process_2021	protein O-linked glycosylation (GO:0006493)	2/102	9.248469e-02	2.627794e-01	0	0	4.040816e+00	9.620021e+00	MUC1;GALNT10
GO_Biological_Process_2021	regulation of protein catabolic process (GO:0042176)	2/102	9.248469e-02	2.627794e-01	0	0	4.040816e+00	9.620021e+00	WNT5A;MAD2L1
GO_Biological_Process_2021	cellular response to cytokine stimulus (GO:0071345)	5/482	9.415860e-02	2.633798e-01	0	0	2.143109e+00	5.063685e+00	PTPRT;MUC1;WNT5A;BIRC5;LRP8
GO_Biological_Process_2021	base-excision repair, AP site formation (GO:0006285)	1/20	9.543242e-02	2.633798e-01	0	0	1.056938e+01	2.483103e+01	NEIL3
GO_Biological_Process_2021	cellular response to nitrogen compound (GO:1901699)	1/20	9.543242e-02	2.633798e-01	0	0	1.056938e+01	2.483103e+01	BLM
GO_Biological_Process_2021	endoplasmic reticulum calcium ion homeostasis (GO:0032469)	1/20	9.543242e-02	2.633798e-01	0	0	1.056938e+01	2.483103e+01	PSEN1
GO_Biological_Process_2021	positive regulation of dendrite morphogenesis (GO:0050775)	1/20	9.543242e-02	2.633798e-01	0	0	1.056938e+01	2.483103e+01	LRP8
GO_Biological_Process_2021	positive regulation of G2/M transition of mitotic cell cycle (GO:0010971)	1/20	9.543242e-02	2.633798e-01	0	0	1.056938e+01	2.483103e+01	CDC25A
GO_Biological_Process_2021	positive regulation of hormone secretion (GO:0046887)	1/20	9.543242e-02	2.633798e-01	0	0	1.056938e+01	2.483103e+01	C1QTNF3
GO_Biological_Process_2021	positive regulation of natural killer cell mediated cytotoxicity (GO:0045954)	1/20	9.543242e-02	2.633798e-01	0	0	1.056938e+01	2.483103e+01	PVR
GO_Biological_Process_2021	chromosome organization (GO:0051276)	2/106	9.866964e-02	2.679864e-01	0	0	3.884615e+00	8.996684e+00	CDCA8;NDC80
GO_Biological_Process_2021	regulation of dendritic spine development (GO:0060998)	1/21	9.995977e-02	2.679864e-01	0	0	1.004040e+01	2.312292e+01	PSEN1
GO_Biological_Process_2021	cellular response to inorganic substance (GO:0071241)	1/21	9.995977e-02	2.679864e-01	0	0	1.004040e+01	2.312292e+01	BLM
GO_Biological_Process_2021	positive regulation of glycolytic process (GO:0045821)	1/21	9.995977e-02	2.679864e-01	0	0	1.004040e+01	2.312292e+01	PSEN1
GO_Biological_Process_2021	spindle assembly checkpoint signaling (GO:0071173)	1/21	9.995977e-02	2.679864e-01	0	0	1.004040e+01	2.312292e+01	MAD2L1
GO_Biological_Process_2021	positive regulation of purine nucleotide metabolic process (GO:1900544)	1/21	9.995977e-02	2.679864e-01	0	0	1.004040e+01	2.312292e+01	PSEN1
GO_Biological_Process_2021	mitotic spindle assembly checkpoint signaling (GO:0007094)	1/21	9.995977e-02	2.679864e-01	0	0	1.004040e+01	2.312292e+01	MAD2L1
GO_Biological_Process_2021	mitotic spindle checkpoint signaling (GO:0071174)	1/21	9.995977e-02	2.679864e-01	0	0	1.004040e+01	2.312292e+01	MAD2L1
GO_Biological_Process_2021	response to calcium ion (GO:0051592)	2/107	1.002339e-01	2.679864e-01	0	0	3.847425e+00	8.850035e+00	WNT5A;SLC25A13
GO_Biological_Process_2021	DNA replication (GO:0006260)	2/108	1.018051e-01	2.712453e-01	0	0	3.810936e+00	8.706827e+00	BLM;CDC45
GO_Biological_Process_2021	negative regulation of biomineral tissue development (GO:0070168)	1/22	1.044647e-01	2.726706e-01	0	0	9.561809e+00	2.159923e+01	ASPN
GO_Biological_Process_2021	negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	1/22	1.044647e-01	2.726706e-01	0	0	9.561809e+00	2.159923e+01	MAD2L1
GO_Biological_Process_2021	negative regulation of small molecule metabolic process (GO:0062014)	1/22	1.044647e-01	2.726706e-01	0	0	9.561809e+00	2.159923e+01	C1QTNF3
GO_Biological_Process_2021	regulation of response to cytokine stimulus (GO:0060759)	1/22	1.044647e-01	2.726706e-01	0	0	9.561809e+00	2.159923e+01	WNT5A
GO_Biological_Process_2021	rRNA methylation (GO:0031167)	1/22	1.044647e-01	2.726706e-01	0	0	9.561809e+00	2.159923e+01	FDXACB1
GO_Biological_Process_2021	membrane protein intracellular domain proteolysis (GO:0031293)	1/22	1.044647e-01	2.726706e-01	0	0	9.561809e+00	2.159923e+01	PSEN1
GO_Biological_Process_2021	regulation of interleukin-6 production (GO:0032675)	2/110	1.049680e-01	2.730586e-01	0	0	3.739985e+00	8.430299e+00	C1QTNF3;WNT5A
GO_Biological_Process_2021	cilium organization (GO:0044782)	3/228	1.062842e-01	2.755517e-01	0	0	2.704467e+00	6.062438e+00	EXOC6;FAM161B;IFT46
GO_Biological_Process_2021	protein-containing complex subunit organization (GO:0043933)	2/112	1.081575e-01	2.759520e-01	0	0	3.671614e+00	8.166281e+00	REPS2;FANCA
GO_Biological_Process_2021	acylglycerol biosynthetic process (GO:0046463)	1/23	1.089473e-01	2.759520e-01	0	0	9.126722e+00	2.023295e+01	LPIN1
GO_Biological_Process_2021	regulation of protein export from nucleus (GO:0046825)	1/23	1.089473e-01	2.759520e-01	0	0	9.126722e+00	2.023295e+01	GTSE1
GO_Biological_Process_2021	positive regulation of cell cycle G2/M phase transition (GO:1902751)	1/23	1.089473e-01	2.759520e-01	0	0	9.126722e+00	2.023295e+01	CDC25A
GO_Biological_Process_2021	positive regulation of histone acetylation (GO:0035066)	1/23	1.089473e-01	2.759520e-01	0	0	9.126722e+00	2.023295e+01	MUC1
GO_Biological_Process_2021	positive regulation of natural killer cell mediated immunity (GO:0002717)	1/23	1.089473e-01	2.759520e-01	0	0	9.126722e+00	2.023295e+01	PVR
GO_Biological_Process_2021	membrane protein ectodomain proteolysis (GO:0006509)	1/23	1.089473e-01	2.759520e-01	0	0	9.126722e+00	2.023295e+01	PSEN1
GO_Biological_Process_2021	histone modification (GO:0016570)	2/114	1.113729e-01	2.772188e-01	0	0	3.605685e+00	7.914014e+00	CCNA2;NEK11
GO_Biological_Process_2021	positive regulation of protein metabolic process (GO:0051247)	2/115	1.129900e-01	2.772188e-01	0	0	3.573596e+00	7.792068e+00	WNT5A;PSEN1
GO_Biological_Process_2021	positive regulation of nucleic acid-templated transcription (GO:1903508)	5/511	1.131855e-01	2.772188e-01	0	0	2.017266e+00	4.395073e+00	FANK1;BLM;WNT5A;PSEN1;FOXM1
GO_Biological_Process_2021	negative regulation of NIK/NF-kappaB signaling (GO:1901223)	1/24	1.134077e-01	2.772188e-01	0	0	8.729469e+00	1.900201e+01	C1QTNF3
GO_Biological_Process_2021	regulation of cytokine production involved in immune response (GO:0002718)	1/24	1.134077e-01	2.772188e-01	0	0	8.729469e+00	1.900201e+01	WNT5A
GO_Biological_Process_2021	regulation of monooxygenase activity (GO:0032768)	1/24	1.134077e-01	2.772188e-01	0	0	8.729469e+00	1.900201e+01	NOSTRIN
GO_Biological_Process_2021	regulation of ruffle assembly (GO:1900027)	1/24	1.134077e-01	2.772188e-01	0	0	8.729469e+00	1.900201e+01	EVL
GO_Biological_Process_2021	positive regulation of carbohydrate metabolic process (GO:0045913)	1/24	1.134077e-01	2.772188e-01	0	0	8.729469e+00	1.900201e+01	PSEN1
GO_Biological_Process_2021	extracellular matrix assembly (GO:0085029)	1/24	1.134077e-01	2.772188e-01	0	0	8.729469e+00	1.900201e+01	NTN4
GO_Biological_Process_2021	positive regulation of transcription from RNA polymerase II promoter in response to stress (GO:0036003)	1/24	1.134077e-01	2.772188e-01	0	0	8.729469e+00	1.900201e+01	MUC1
GO_Biological_Process_2021	positive regulation of viral life cycle (GO:1903902)	1/24	1.134077e-01	2.772188e-01	0	0	8.729469e+00	1.900201e+01	KPNA2
GO_Biological_Process_2021	sphingolipid metabolic process (GO:0006665)	2/116	1.146133e-01	2.792791e-01	0	0	3.542069e+00	7.672802e+00	SPTLC2;DEGS2
GO_Biological_Process_2021	negative regulation of cellular carbohydrate metabolic process (GO:0010677)	1/25	1.178460e-01	2.844558e-01	0	0	8.365320e+00	1.788821e+01	C1QTNF3
GO_Biological_Process_2021	energy derivation by oxidation of organic compounds (GO:0015980)	1/25	1.178460e-01	2.844558e-01	0	0	8.365320e+00	1.788821e+01	SLC25A13
GO_Biological_Process_2021	positive regulation of T cell migration (GO:2000406)	1/25	1.178460e-01	2.844558e-01	0	0	8.365320e+00	1.788821e+01	WNT5A
GO_Biological_Process_2021	axonogenesis (GO:0007409)	3/240	1.190167e-01	2.852786e-01	0	0	2.565966e+00	5.461637e+00	WNT5A;NTN4;EVL
GO_Biological_Process_2021	negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage (GO:1902230)	1/26	1.222622e-01	2.852786e-01	0	0	8.030303e+00	1.687638e+01	MUC1
GO_Biological_Process_2021	negative regulation of protein transport (GO:0051224)	1/26	1.222622e-01	2.852786e-01	0	0	8.030303e+00	1.687638e+01	RHBDF2
GO_Biological_Process_2021	negative regulation of receptor-mediated endocytosis (GO:0048261)	1/26	1.222622e-01	2.852786e-01	0	0	8.030303e+00	1.687638e+01	PSEN1
GO_Biological_Process_2021	regulation of mitotic metaphase/anaphase transition (GO:0030071)	1/26	1.222622e-01	2.852786e-01	0	0	8.030303e+00	1.687638e+01	CENPE
GO_Biological_Process_2021	DNA geometric change (GO:0032392)	1/26	1.222622e-01	2.852786e-01	0	0	8.030303e+00	1.687638e+01	BLM
GO_Biological_Process_2021	DNA modification (GO:0006304)	1/26	1.222622e-01	2.852786e-01	0	0	8.030303e+00	1.687638e+01	NEIL3
